Archivo;Nodos;Aristas;Cliques;Tiempo;Clique_Maximo
le450_15b.col;450;8169;4883;0.060996055603027344;7
le450_15c.col;450;16680;15502;0.13463616371154785;8
le450_15d.col;450;16750;15276;0.13673138618469238;8
le450_25a.col;450;8260;5615;0.06601452827453613;8
le450_25c.col;450;17343;28082;0.42623305320739746;9
le450_25d.col;450;17425;22626;0.34305238723754883;9
le450_5a.col;450;5714;2145;0.011269807815551758;5
le450_5b.col;450;5734;2237;0.010001182556152344;5
le450_5c.col;450;9803;4051;0.022092342376708984;5
le450_5d.col;450;9757;4162;0.020385026931762695;5
