Archivo;Nodos;Aristas;Cliques;Tiempo;Clique_Maximo
le450_15b.col;450;16338;2987;6.164820671081543;15
le450_15c.col;450;33360;28049;21.417553424835205;15
le450_15d.col;450;33500;28908;21.29250979423523;15
le450_25a.col;450;16520;2560;1959.5544407367706;25
le450_25c.col;450;34686;29579;6517.621734619141;25
le450_25d.col;450;34850;30057;6265.136297941208;25
le450_5a.col;450;11428;2808;0.04399847984313965;5
le450_5b.col;450;11468;2766;0.042035818099975586;5
le450_5c.col;450;19606;7660;0.14003920555114746;5
le450_5d.col;450;19514;7434;0.1410050392150879;5
